Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
Medical Data Analyst,50-86 ,3.8,CornerStone Staffing,"Fort Worth, TX","Grand Prairie, TX",51 to 200 employees,1991,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,35.0,50.0,86,68.0
Data Analyst,50-86 ,-1.0,Thinkfind Corporation,"Fort Worth, TX","Richardson, TX",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,15.0,50.0,86,68.0
"Data Analyst, Military Forecasting",50-86 ,3.9,Bell Helicopter,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1935,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,-1,91.0,50.0,86,68.0
Data Reporting Analyst,50-86 ,3.1,E Business International,"Fort Worth, TX","Princeton, NJ",51 to 200 employees,1992,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,34.0,50.0,86,68.0
Data Analyst,50-86 ,4.4,"InfoVision, Inc.","Irving, TX","Richardson, TX",1001 to 5000 employees,1995,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,31.0,50.0,86,68.0
Data Analyst Assistant,50-86 ,5.0,Company Confidenital,"Fort Worth, TX","Tulsa, OK",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,20.0,50.0,86,68.0
Systems Engineer - Data Analyst (Level 3),50-86 ,3.8,Lockheed Martin,"Fort Worth, TX","Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Boeing, Northrop Grumman, Raytheon Technologies",-1,31.0,50.0,86,68.0
Sr Data Analyst,50-86 ,2.9,GM Financial,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1992,Company - Public,Lending,Finance,$5 to $10 billion (USD),-1,-1,34.0,50.0,86,68.0
Data/Sales Analyst,50-86 ,-1.0,Samsung HVAC,"Roanoke, TX","Roanoke, TX",51 to 200 employees,-1,Other Organization,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,-1,-1,,50.0,86,68.0
Data/Financial Analyst,35-67 ,1.7,"SUNSET LOGISTICS, INC","Fort Worth, TX","Fort Worth, TX",51 to 200 employees,-1,Company - Private,Transportation Management,Transportation & Logistics,$25 to $50 million (USD),-1,-1,,35.0,67,51.0
Data Analyst - Intelligent Automation,35-67 ,4.2,Prudent Technologies & Consulting,"Fort Worth, TX","Dallas, TX",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,28.0,35.0,67,51.0
(Risk Data Analyst),35-67 ,4.8,System Soft Technologies,"Fort Worth, TX","Tampa, FL",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,27.0,35.0,67,51.0
Systems Analyst - Data Conversion,35-67 ,3.9,Fidelity TalentSource,"Westlake, TX","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.0,35.0,67,51.0
"Business Analyst with Data Governance ,IDQ exp",35-67 ,-1.0,SM LOgics Inc,"Fort Worth, TX","Carrollton, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,,35.0,67,51.0
"Business Analyst with Data Governance ,IDQ exp",35-67 ,-1.0,smlogics,"Fort Worth, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1,,35.0,67,51.0
(Data Risk Analyst: Data Modeler),35-67 ,4.8,System Soft Technologies,"Fort Worth, TX","Tampa, FL",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,27.0,35.0,67,51.0
+ Global Process Data Analyst,57-70 ,4.7,InfoQuest Consulting Group,"Fort Worth, TX","Edison, NJ",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1,,57.0,70,63.5
